Wavelength	PL390-MAO-Cr-Mau8
nm	Counts
618.123	1101
618.25	1110
618.376	1102
618.503	1108
618.63	1112
618.756	1124
618.883	1109
619.01	1113
619.136	1122
619.263	1131
619.39	1109
619.516	1118
619.643	1115
619.769	1131
619.896	1119
620.023	1128
620.149	1113
620.276	1116
620.402	1123
620.529	1133
620.656	1124
620.782	1129
620.909	1132
621.035	1120
621.162	1118
621.288	1117
621.415	1112
621.541	1121
621.668	1134
621.795	1128
621.921	1138
622.048	1114
622.174	1145
622.301	1122
622.427	1139
622.554	1141
622.68	1131
622.807	1142
622.933	1141
623.059	1141
623.186	1153
623.312	1125
623.439	1138
623.565	1137
623.692	1148
623.818	1146
623.945	1158
624.071	1149
624.197	1147
624.324	1135
624.45	1134
624.577	1137
624.703	1147
624.829	1136
624.956	1149
625.082	1165
625.209	1145
625.335	1156
625.461	1149
625.588	1146
625.714	1162
625.84	1160
625.967	1153
626.093	1168
626.219	1175
626.346	1176
626.472	1159
626.598	1168
626.725	1161
626.851	1174
626.977	1159
627.103	1172
627.23	1185
627.356	1167
627.482	1176
627.608	1156
627.735	1180
627.861	1172
627.987	1171
628.113	1167
628.24	1180
628.366	1178
628.492	1171
628.618	1173
628.745	1173
628.871	1179
628.997	1184
629.123	1188
629.249	1203
629.376	1192
629.502	1195
629.628	1184
629.754	1203
629.88	1196
630.006	1190
630.132	1189
630.259	1213
630.385	1206
630.511	1187
630.637	1209
630.763	1204
630.889	1212
631.015	1187
631.141	1192
631.268	1198
631.394	1208
631.52	1203
631.646	1202
631.772	1218
631.898	1211
632.024	1204
632.15	1222
632.276	1220
632.402	1226
632.528	1234
632.654	1219
632.78	1225
632.906	1222
633.032	1226
633.158	1220
633.284	1243
633.41	1248
633.536	1225
633.662	1231
633.788	1235
633.914	1234
634.04	1245
634.166	1232
634.292	1250
634.418	1260
634.544	1257
634.67	1256
634.796	1252
634.922	1251
635.048	1245
635.173	1267
635.299	1245
635.425	1263
635.551	1263
635.677	1264
635.803	1264
635.929	1277
636.055	1269
636.181	1264
636.306	1264
636.432	1292
636.558	1269
636.684	1292
636.81	1266
636.936	1286
637.061	1290
637.187	1292
637.313	1281
637.439	1282
637.565	1286
637.69	1282
637.816	1312
637.942	1292
638.068	1288
638.193	1305
638.319	1287
638.445	1286
638.571	1301
638.696	1298
